designation,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,miss_distance_min_au,miss_distance_mean_au,relative_velocity_max_kms,n_close_approaches,is_potentially_hazardous_asteroid
465617,465617 (2009 EK1),21.36,0.1420872067,0.317716653,0.0328423995,0.32971818085061727,19.2321481757,81,1
466191,466191 (2012 KL45),18.84,0.453476699,1.0140047252,0.0961728768,0.132405939675,15.9597294275,8,0
467335,467335 (2002 JA9),19.12,0.3986162293,0.8913329856,0.1543435173,0.17337431013333335,13.875172341,3,0
458135,458135 (2010 GE25),20.27,0.2347226375,0.5248557734,0.1997371685,0.1997371685,13.4516322211,1,0
458452,458452 (2011 BR15),19.77,0.2954982931,0.6607542706,0.0593188344,0.28855865577317086,24.5092033683,164,0
458964,458964 (2011 WM2),20.26,0.235806068,0.5272783976,0.1940268666,0.33486793319354835,17.0925198291,31,0
459046,459046 (2012 AS10),17.39,0.8842090927,1.9771516375,0.1357793765,0.16821160082857145,16.9211054299,14,0
461353,461353 (1999 LS7),21.16,0.1557955241,0.3483693825,0.0501379357,0.2754148946174602,24.1665210602,126,1
464639,464639 (2000 PO30),19.17,0.3895426161,0.8710437698,0.1202603568,0.3106237044466667,15.5267008332,30,0
464797,464797 (2004 FZ1),18.3,0.5815070396,1.30028927,0.2284208994,0.33126380522500004,36.3136183547,36,0
464798,464798 (2004 JX20),19.37,0.3552670883,0.7944013596,0.094215823,0.13089025773191487,11.5598116787,47,0
465166,465166 (2007 EL),19.53,0.3300311834,0.7379721607,0.1979554014,0.19800860975,18.5314768503,2,0
465824,465824 (2010 FR),21.69,0.1220548318,0.2729229009,0.0131788552,0.09511243717741938,17.5526926318,31,1
465826,465826 (2010 GA24),21.09,0.1608996045,0.3597824532,0.0513625972,0.2084054749545455,24.0698544796,22,1
465853,465853 (2010 RJ42),19.6,0.3195618867,0.7145621017,0.2804224365,0.38330507520384616,23.3170147305,26,0
465892,465892 (2010 UT7),19.72,0.3023813326,0.6761452148,0.0512026499,0.1224208145864865,29.3858502811,37,1
467347,467347 (2003 GR),20.64,0.1979497587,0.4426291165,0.2078102423,0.33247600786190473,34.5904085478,63,0
467336,467336 (2002 LT38),20.61,0.2007035141,0.4487867009,0.0336001159,0.28514366885919545,22.8688811349,174,1
467460,467460 (2006 JF42),19.05,0.4116754573,0.9205343072,0.007396426,0.08542410687532463,18.6867879276,77,1
467527,467527 (2007 LA15),19.55,0.3270054393,0.7312063912,0.0586400271,0.0794037995,8.293614009,8,0
468446,468446 (2002 XX4),19.95,0.2719912773,0.6081909854,0.4489068504,0.46716927663846153,13.3847994597,13,0
468481,468481 (2004 TP20),20.05,0.2597496533,0.580817882,0.117316685,0.29887961924687495,26.0730379677,64,0
468541,468541 (2006 QA31),20.05,0.2597496533,0.580817882,0.2046026958,0.3253182943316327,27.1097545647,98,0
468813,468813 (2012 OT5),21.79,0.1165614595,0.2606393469,0.1774930992,0.18761745874,3.2520416882,5,0
468910,468910 (2014 KQ76),21.67,0.1231841913,0.2754482254,0.0410904306,0.12025953512051284,17.8244089745,39,1
467351,467351 (2003 KO2),20.37,0.2241583786,0.5012333723,0.0352525492,0.09516726282105263,18.4843231694,38,1
467917,467917 (2011 OP24),19.84,0.2861244538,0.6397937287,0.1422893078,0.16342396833,21.6937000776,10,0
468005,468005 (2012 XD112),21.19,0.1536579294,0.3435895754,0.0191469523,0.24575894490746267,24.1984805199,67,1
468462,468462 (2004 BS102),19.12,0.3986162293,0.8913329856,0.1995597175,0.1995597175,15.6378823493,1,0
468468,468468 (2004 KH17),22.01,0.1053307015,0.2355266087,0.0375596854,0.1112310371537037,18.7010168316,54,1
468727,468727 (2010 JE87),20.76,0.1873074177,0.4188321187,0.0389071652,0.09742813385714284,19.3447396618,21,1
468738,468738 (2010 TN54),19.38,0.3536347843,0.7907514169,0.166011566,0.17866737417499998,5.4756462577,4,0
468909,468909 (2014 KZ44),20.52,0.2091967709,0.4677782004,0.2938744866,0.38174517551652887,27.684117416,121,0
469356,469356 (2001 DR8),18.76,0.4704949611,1.0520587161,0.0751892852,0.12862744926000003,25.0020600643,15,0
469494,469494 (2002 XS40),20.09,0.2550086879,0.5702167609,0.1621114329,0.1788858821875,11.0490578978,8,0
469737,469737 (2005 NW44),20.39,0.2221032822,0.4966380371,0.0507786778,0.10837583954520548,17.3531454741,73,0
469445,469445 (2002 LT24),22.14,0.0992098919,0.2218400624,0.0361920857,0.10071562955000003,16.3583315814,76,0
469722,469722 (2005 LP40),19.45,0.3424167308,0.7656670868,0.1455901313,0.2912943848590909,24.9588738022,22,0
469929,469929 (2006 AK8),21.13,0.1579628558,0.3532156834,0.1130698794,0.15600181748800002,16.5222681886,25,0
470594,470594 (2008 MN1),20.11,0.2526707542,0.5649889822,0.1663105146,0.17704033191,20.6869903634,10,0
471926,471926 Jormungandr (2013 KN6),18.62,0.5018281006,1.1221217459,0.0520306838,0.31787070795319156,45.3571636968,47,0
474451,474451 (2003 SR15),21.78,0.1170994827,0.2618424035,0.0689476485,0.28152506003623196,21.3221003892,69,0
474549,474549 (2003 WX153),18.07,0.6464798256,1.4455728362,0.100922725,0.30582005337,32.1751086274,20,0
474611,474611 (2004 SB56),19.26,0.3737274319,0.8356799428,0.0510961528,0.11927858613076923,15.1080682704,26,0
475016,475016 (2005 UO),22.06,0.102933082,0.2301653685,0.0032321452,0.29063844765624997,33.9789255362,80,0
475534,475534 (2006 TS7),21.25,0.1494703242,0.3342258056,0.0114811264,0.33049739117078636,33.20083126,178,1
476187,476187 (2007 UQ13),20.09,0.2550086879,0.5702167609,0.2921539885,0.3881523622022989,26.8994958336,87,0
476438,476438 (2008 EB9),20.34,0.2272767323,0.5082062231,0.3439392425,0.4267912011054054,11.9172274584,37,0
476904,476904 (2008 WK32),19.12,0.3986162293,0.8913329856,0.0667263594,0.10715240564545453,15.4322443599,11,0
477248,477248 (2009 SV),20.02,0.263363131,0.5888978636,0.1157079191,0.12047778183333335,14.3082661519,12,0
478574,478574 (2012 TS78),18.6,0.5064714588,1.1325046106,0.0593839993,0.12244074036666665,20.6912116204,12,1
478784,478784 (2012 UV136),25.6,0.0201629919,0.0450858206,0.0119279947,0.1796721091466666,18.4547925812,90,0
480854,480854 (2001 AO2),18.31,0.5788352575,1.2943149835,0.415930745,0.42411629738,13.0748792131,5,0
480856,480856 (2001 NZ1),18.18,0.6145468212,1.3741684676,0.1856769573,0.30026348840714284,15.4460695528,14,0
481025,481025 (2004 VA1),20.65,0.1970402621,0.4405954204,0.1693658113,0.37485907571608407,30.8112352111,143,0
481442,481442 (2006 WO3),21.58,0.1283970296,0.2871044863,0.1306845218,0.2692746212213114,27.8167850469,122,0
481817,481817 (2008 UL90),18.48,0.5352479056,1.1968507018,0.0266612903,0.0905041770472222,16.0793018747,36,1
482250,482250 (2011 LL2),20.17,0.2457847746,0.5495914639,0.0163203611,0.3006476104578947,18.8966764049,95,1
482533,482533 (2012 UA34),19.8,0.2914439045,0.6516883822,0.0859377459,0.13220795231666665,31.7830658806,30,0
482566,482566 (2012 WK4),21.52,0.131994239,0.2951480911,0.0613879422,0.2826583112010415,23.2801525274,96,0
482650,482650 (2013 BK18),19.68,0.3080030213,0.6887156928,0.0620442876,0.3109904760590909,28.5423540196,44,1
470310,470310 (2007 LB15),19.61,0.3180936332,0.7112789871,0.1427678557,0.328994242519697,26.1738370605,132,1
470510,470510 (2008 CJ116),19.15,0.3931470096,0.8791034386,0.199403905,0.199403905,7.5423043317,1,0
470585,470585 (2008 JQ14),19.04,0.4135756649,0.9247833005,0.2296984416,0.34595571424285715,13.0057234296,7,0
471240,471240 (2011 BT15),21.7,0.1214940408,0.2716689341,0.0095238167,0.07242876763333334,12.7174021224,21,1
474158,474158 (1999 FA),20.71,0.191670368,0.428587972,0.0107142942,0.20985109812399996,18.5179539339,75,1
